"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
144,9/30/2014 4:32:41,402,9/29/2014 21:32:41,11/23/2015 22:55:39,1,0.79,82.01,93.91,2.22,"noise                                             "
145,9/30/2014 4:33:21,163,9/29/2014 21:33:21,11/23/2015 22:56:02,1,14.90,43.65,47.94,11.29,
146,9/30/2014 4:33:23,684,9/29/2014 21:33:23,11/23/2015 22:56:06,2,11.42,42.98,48.94,5.57,
147,9/30/2014 4:33:20,926,9/29/2014 21:33:20,11/23/2015 22:56:14,1,15.18,41.99,48.61,6.87,
148,9/30/2014 4:33:23,620,9/29/2014 21:33:23,11/23/2015 22:56:17,2,10.48,42.32,49.60,5.60,
149,9/30/2014 4:33:46,396,9/29/2014 21:33:46,11/23/2015 22:56:56,1,25.53,41.33,49.60,1.69,
150,9/30/2014 4:33:47,287,9/29/2014 21:33:47,11/23/2015 22:56:59,2,7.88,41.33,47.28,8.32,
151,9/30/2014 4:35:31,351,9/29/2014 21:35:31,11/23/2015 22:58:15,1,28.71,41.66,49.93,1.14,
152,9/30/2014 4:35:32,771,9/29/2014 21:35:32,11/23/2015 22:58:20,2,26.40,41.99,48.61,5.29,
153,9/30/2014 4:36:37,576,9/29/2014 21:36:37,11/23/2015 22:59:18,1,18.44,42.98,49.27,7.02,
154,9/30/2014 4:36:37,221,9/29/2014 21:36:37,11/23/2015 22:59:20,2,10.19,42.65,48.94,3.40,
155,9/30/2014 4:37:28,85,9/29/2014 21:37:28,11/23/2015 23:00:03,1,18.15,40.67,48.28,7.62,
156,9/30/2014 4:37:27,224,9/29/2014 21:37:27,11/23/2015 23:00:06,2,20.32,42.65,48.61,2.59,
157,9/30/2014 4:38:26,643,9/29/2014 21:38:26,11/23/2015 23:01:03,1,19.09,42.32,47.94,2.96,
158,9/30/2014 4:38:35,246,9/29/2014 21:38:35,11/23/2015 23:01:07,2,6.29,43.32,49.60,5.30,
159,9/30/2014 4:39:31,76,9/29/2014 21:39:31,11/23/2015 23:02:03,1,21.91,41.99,48.61,6.44,
160,9/30/2014 4:39:32,346,9/29/2014 21:39:32,11/23/2015 23:02:06,2,20.97,41.66,50.26,5.53,
161,9/30/2014 4:40:16,397,9/29/2014 21:40:16,11/23/2015 23:03:00,1,8.60,40.34,48.28,4.93,
162,9/30/2014 4:40:15,34,9/29/2014 21:40:15,11/23/2015 23:03:03,2,8.75,40.01,47.28,6.82,
